id$$主键，国标id,station_id$$省标ID,name$$简称,full_name$$全称,toll_plaza_count$$收费广场数量,lng$$经度,lat$$纬度,toll_station_lane_count$$收费站总车道数,toll_station_mtc_count_in$$mtc车道数（入口）,toll_station_etc_count_in$$etc专用车道（入口）,toll_station_etc_count_out$$etc专用车道（出口）,toll_station_mtc_count_out$$mtc专用车道（出口）,region_id$$所在地市编码,region_name$$所在地级市,opma_clique_id$$所属集团公司编码,opma_clique_name$$所属集团公司名称,opma_manager_corp_id$$所属管理公司编码,opma_manager_corp_name$$所属管理公司名称,opma_manager_id$$所属运管单位编码,opma_manager_name$$所属运管单位名称,opma_road_id$$所属高速公路路线编码（运营业务）,opma_road_name$$所属高速公路路线名称（运营业务）,opma_section_id$$None,opma_section_name$$None,opma_stake_num$$所在桩号（运营业务）,opma_stake_no$$所在桩号（保留3位小数）千米
S0029370010010,120201,高青北,山东高青北站,2.0,117.966261000000000,37.244409000000000,6.0,2.0,1.0,1.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002937,S29滨台高速,S00293703,S29滨台高速淄博段,K015+383,15.383
S0029370010020,120202,高青,山东高青站,2.0,117.973189000000000,37.185694000000000,6.0,1.0,1.0,2.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002937,S29滨台高速,S00293703,S29滨台高速淄博段,K022+282,22.282
S0029370010040,120204,淄博新区,山东淄博新区站,2.0,117.954893000000000,36.783183000000000,12.0,2.0,2.0,5.0,3.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002937,S29滨台高速,S00293703,S29滨台高速淄博段,K067+454,67.454
S0029370010060,120206,博山,山东博山站,2.0,117.827237000000000,36.506857000000000,14.0,3.0,3.0,4.0,4.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002937,S29滨台高速,S00293703,S29滨台高速淄博段,K101+275,101.275
S0029370010070,120207,淄博西,山东淄博西站,2.0,117.949211000000000,36.844283000000000,12.0,2.0,2.0,5.0,3.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002937,S29滨台高速,S00293703,S29滨台高速淄博段,K060+577,60.577
S0038370040030,660103,相沟,山东相沟收费站,2.0,118.758870000000000,35.056884000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,S003837,S38岚菏高速,S00383713,S38岚菏高速临沂段,K048+900,48.900
S0038370040080,660108,罗庄,山东罗庄收费站,2.0,118.258162000000000,34.894565000000000,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,S003837,S38岚菏高速,S00383713,S38岚菏高速临沂段,K101+700,101.700
S0083370010020,210102,山亭南,山东山亭南站,2.0,117.403770000000000,34.941771000000000,4.0,1.0,1.0,1.0,1.0,370400,枣庄,YG1,山东高速集团,YG120,山东高速枣庄发展有限公司,YG120  ,山东高速枣庄发展有限公司,S008337,S83枣庄连接线高速,S00833704,S83枣木高速,K036+141,36.141
S0085370010010,220101,红岛南,山东红岛南站,2.0,120.301027000000000,36.188368000000000,5.0,1.0,1.0,1.0,2.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,S008537,S85青岛海湾大桥,S00853702,S85胶州湾大桥,K040+000,40.000
S0101370010010,650101,董家,山东董家收费站,2.0,117.324022000000000,36.740454000000000,10.0,2.0,2.0,4.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,S010137,S0101济南绕城高速公路二环线东环段,S01013701,S0101济南市绕城二环高速,K007+170,7.170
G9911370030030,720303,高官寨,山东高官寨收费站,2.0,117.306115000000000,36.905548000000000,10.0,2.0,2.0,3.0,3.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G991137,G9911济南都市圈环线,G99113701,G9911济南都市圈环线高速济南段,K267+286,267.286
S0005370010010,720403,高青西,山东高青西收费站,2.0,117.796438000000000,37.203255000000000,7.0,2.0,1.0,2.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S000537,S5济高高速,S00053703,S5济高高速淄博段,K079+493,79.493
S0005370020010,720305,魏桥,山东魏桥收费站,2.0,117.496561000000000,37.057444000000000,8.0,2.0,2.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,S000537,S5济高高速,S00053716,S5济高高速滨州段,K044+560,44.560
S0006370020070,721007,九龙峪,山东九龙峪收费站,2.0,118.492598,36.551524,8.0,2.0,2.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S000637,S6济潍高速,S00063707,S6济潍高速潍坊段,K109+500,109.500
S0027370010010,720701,富国,山东富国收费站,2.0,118.036553000000000,37.692404000000000,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S002737,S27沾临高速,S00273716,S27沾临高速滨州段,K004+477,4.477
S0027370010030,720703,滨城东,山东滨城东收费站,2.0,118.097371000000000,37.432304000000000,8.0,2.0,2.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,S002737,S27沾临高速,S00273716,S27沾临高速滨州段,K035+328,35.328
S0027370020010,720801,桓台东,山东桓台东收费站,1.0,118.169295000000000,36.953763000000000,8.0,2.0,2.0,2.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002737,S27沾临高速,S00273703,S27沾临高速淄博段,K097+383,97.383
S0024370010020,720602,景芝,山东景芝站,2.0,119.310219000000000,36.341306000000000,10.0,2.0,3.0,3.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S002437,S24青商高速,S00243707,S24青商高速潍坊段,K071+531,71.531
G9911370010050,720905,焦庙,山东焦庙站,2.0,116.585473000000000,36.642814000000000,8.0,2.0,2.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,G991137,G9911济南都市圈环线,G99113714,G9911济南都市圈环线高速德州段,K141+500,141.500
G0003370090010,720201,崮山,山东崮山站,4.0,116.847316000000000,36.551689000000000,24.0,5.0,6.0,7.0,6.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,G000337,G3京台高速,G00033701,G3京台高速济南段,K419+707,419.707
G0003370070020,041002,泰安西,山东泰安西站,2.0,117.020990000000000,36.184205000000000,0.0,0.0,0.0,0.0,0.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033709,G3京台高速泰安段,K465+000,465.000
G9911370010010,720901,禹王亭,山东禹王亭站,2.0,116.581730000000000,36.982228000000000,7.0,2.0,1.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,G991137,G9911济南都市圈环线,G99113701,G9911济南都市圈环线高速济南段,K181+686,181.686
G9911370010020,720902,禹城西,山东禹城西站,2.0,116.548072000000000,36.942988000000000,7.0,0.0,3.0,1.0,3.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,G991137,G9911济南都市圈环线,G99113701,G9911济南都市圈环线高速济南段,K176+731,176.731
G9911370010030,720903,伦镇,山东伦镇站,2.0,116.557342000000000,36.817083000000000,8.0,2.0,2.0,2.0,2.0,371400,德州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10102,夏津运管中心,G991137,G9911济南都市圈环线,G99113701,G9911济南都市圈环线高速济南段,K161+447,161.447
G0018370110010,130201,利津,山东利津站,2.0,118.363044000000000,37.707285000000000,4.0,1.0,1.0,1.0,1.0,370500,东营,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,G001837,G18荣乌高速,G00183705,G18荣乌高速东营段,K527+300,527.300
G2516370010020,390302,盐窝,山东盐窝站,2.0,118.364484000000000,37.630423000000000,7.0,2.0,1.0,2.0,2.0,370500,东营,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,G251637,G2516东吕高速,G25163705,G2516东吕高速东营段,K019+642,19.642
S7201370010030,130103,孤岛,山东孤岛站,2.0,118.753089000000000,37.873664000000000,4.0,1.0,1.0,1.0,1.0,370500,东营,YG1,山东高速集团,YG108,山东高速东营发展有限公司,YG10801,东营分公司,S720137,S7201东营港疏港高速,S72013705,S7201东营港疏港高速,K027+350,27.350
G0003370080060,020506,枣庄南,山东枣庄南站,4.0,117.298397,34.740851,8.0,2.0,2.0,2.0,2.0,370400,枣庄,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10106,枣庄运管中心,G000337,G3京台高速,G00033704,G3京台高速枣庄段,K634+028,634.028
S0006370020060,721006,胡林古,山东胡林古收费站,2.0,118.335991,36.583154,6.0,2.0,1.0,1.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,S000637,S6济潍高速,S00063707,S6济潍高速潍坊段,K094+150,94.150
S0027370030030,721403,金山,山东金山站,2.0,118.122744323,36.6949741629,,,,,,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002737,S27沾临高速,S00273703,S27沾临高速淄博段,K126+087,126.087
G0018370170010,721501,双岛,山东双岛站,2.0,121.977084000000000,37.475965000000000,8.0,2.0,2.0,2.0,2.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10115,烟台运管中心,G001837,G18荣乌高速,G00183710,G18荣乌高速威海段,K093+377,93.377
S0027370030010,721401,淄博东,山东淄博东站,2.0,118.171176,36.828252,,,,,,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,S002737,S27沾临高速,S00273703,S27沾临高速淄博段,K109+893,109.893
S0027370040020,721702,沂水高庄,山东沂水高庄站,2.0,118.265296,35.809104,6.0,2.0,1.0,1.0,2.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,S002737,S27沾临高速,S00273713,S27沾临高速临沂段,K246+587,246.587
G9911370020010,721801,济阳闻韶,山东济阳闻韶站,,117.25969618,37.07616812,6.0,2.0,1.0,1.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G991137,G9911济南都市圈环线,G99113701,G9911济南都市圈环线高速济南段,K246+173,246.173
G9911370020050,721805,禹城北,山东禹城北站,,116.68574251,37.02821545,6.0,2.0,1.0,1.0,2.0,371400,德州,YG1,山东高速集团,YG107,山东高速德州发展有限公司,YG107  ,山东高速德州发展有限公司,G991137,G9911济南都市圈环线,G99113714,G9911济南都市圈环线高速德州段,K192+366,192.366
G1511370050020,722202,兖州,山东兖州站,2.0,116.798170000000000,35.514599000000000,12.0,2.0,2.0,5.0,3.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K252+000,252.000
G1511370050060,722206,嘉祥,山东嘉祥站,2.0,116.354336000000000,35.480070000000000,6.0,2.0,1.0,1.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K294+000,294.000
S0001370030010,722301,冠县,山东冠县站,2.0,115.479366000000000,36.519755000000000,8.0,2.0,1.0,3.0,2.0,371500,聊城,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,S000137,S1济聊高速,S00013715,S1济聊高速聊城段,K129+011,129.011
G2001370010010,721601,济南机场,山东济南机场站,2.0,117.205612,36.841807,22.0,5.0,5.0,6.0,6.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K001+825,1.825
G0018370030010,270201,酒馆,山东酒馆站,2.0,121.881327000000000,37.450212000000000,6.0,1.0,2.0,2.0,1.0,370600,烟台,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10118,烟威公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K102+455,102.455
G1511370030050,080305,济宁,山东济宁站,2.0,116.661556000000000,35.526654000000000,10.0,2.0,2.0,4.0,2.0,370800,济宁,YG1,山东高速集团,YG111,山东高速济宁发展有限公司,YG111  ,山东高速济宁发展有限公司,G151137,G1511日兰高速,G15113708,G1511日兰高速济宁段,K264+000,264.000
G0002370040010,040901,港沟,山东港沟站,2.0,117.176318000000000,36.629869000000000,15.0,3.0,3.0,3.0,6.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,G000237,G2京沪高速,G00023701,G2京沪高速济南段,K401+500,401.500
G0002370040020,040902,蟠龙,山东蟠龙站,2.0,117.224512000000000,36.627951000000000,6.0,1.0,1.0,3.0,1.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,G000237,G2京沪高速,G00023701,G2京沪高速济南段,K404+716,404.716
G0002370040080,040908,莱芜高新,山东莱芜高新站,2.0,117.724627000000000,36.253604000000000,8.0,2.0,1.0,3.0,2.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10108,京沪济南运管中心,G000237,G2京沪高速,G00023701,G2京沪高速济南段,K474+064,474.064
G0002370050020,050202,孟良崮,山东孟良崮站,2.0,118.154650000000000,35.537988000000000,8.0,2.0,2.0,1.0,3.0,371300,临沂,YG1,山东高速集团,YG113,山东高速临沂发展有限公司,YG113  ,山东高速临沂发展有限公司,G000237,G2京沪高速,G00023713,G2京沪高速临沂段,K577+951,577.951
G0002370090020,040105,郭店,山东郭店站,2.0,117.208622000000000,36.725446000000000,13.0,2.0,4.0,4.0,3.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K014+300,14.300
G0002370100020,070102,市中,山东市中站,1.0,116.926625000000000,36.566198000000000,17.0,2.0,4.0,7.0,4.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K052+000,52.000
G0002370120050,120305,莱芜南,山东莱芜南站,2.0,117.698518000000000,36.183497000000000,6.0,1.0,1.0,2.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,S002637,S26莱泰高速,S00263701,S26莱泰高速济南段,K004+080,4.080
G0002370130030,050103,化马湾,山东化马湾站,2.0,117.433436000000000,36.066695000000000,7.0,2.0,1.0,2.0,2.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,S003137,S31泰新高速,S00313709,S31泰新高速,K039+900,39.900
G0002370130050,050105,新泰南,山东新泰南站,2.0,117.686757000000000,35.849829000000000,11.0,2.0,2.0,4.0,3.0,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,S003137,S31泰新高速,S00313709,S31泰新高速,K073+600,73.600
G0002370140020,050402,钢城,山东钢城站,2.0,117.793195000000000,36.075344000000000,9.0,2.0,2.0,3.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G000237,G2京沪高速,G00023701,G2京沪高速济南段,K499+808,499.808
G0002370150020,050502,新泰东,山东新泰东站,2.0,117.837233,35.862263,,,,,,370900,泰安,YG1,山东高速集团,YG116,山东高速泰安发展有限公司,YG116  ,山东高速泰安发展有限公司,G000237,G2京沪高速,G00023709,G2京沪高速泰安段,K525+490,525.490
G0003370030010,020405,曲阜北,山东曲阜北站,2.0,117.059576000000000,35.738825000000000,8.0,2.0,2.0,2.0,2.0,370800,济宁,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033708,G3京台高速济宁段,K517+000,517.000
G0003370030020,020406,曲阜,山东曲阜站,2.0,117.041518000000000,35.600239000000000,11.0,3.0,2.0,3.0,3.0,370800,济宁,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10104,泰安运管中心,G000337,G3京台高速,G00033708,G3京台高速济宁段,K532+000,532.000
G0003370040020,020303,济南西,山东济南西站,2.0,116.887407000000000,36.652563000000000,14.0,3.0,3.0,5.0,3.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K066+779,66.779
G0003370040060,020307,国际医学中心,山东国际医学中心站,2.0,116.873752000000000,36.680372000000000,17.0,2.0,4.0,4.0,7.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10103,京台济南运管中心,G200137,G2001济南绕城高速,G20013701,G2001济南绕城高速济南段,K070+500,70.500
G0015370080070,090207,福山,山东福山站,2.0,121.220387000000000,37.530731000000000,12.0,2.0,3.0,3.0,4.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001537,G15沈海高速,G00153706,G15沈海高速烟台段,K416+800,416.800
G0015370080080,090208,烟台西港,山东烟台西港站,2.0,121.117400000000000,37.666595000000000,7.0,2.0,1.0,2.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S740237,S7402烟台西港区疏港高速,S74023706,S7402烟台西港区疏港高速,K006+000,6.000
G0018370050010,090301,蓬莱东,山东蓬莱东站,2.0,120.864357000000000,37.634501000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K202+570,202.570
G0018370050060,090306,烟台机场,山东烟台机场站,2.0,121.006311000000000,37.635474000000000,11.0,2.0,2.0,4.0,3.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K189+400,189.400
G0018370060020,090402,朱桥,山东朱桥站,2.0,120.152766000000000,37.285190000000000,4.0,1.0,1.0,1.0,1.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K286+000,286.000
G0018370060050,090405,沙河,山东沙河站,2.0,119.803958000000000,37.021617000000000,6.0,2.0,1.0,1.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,G001837,G18荣乌高速,G00183706,G18荣乌高速烟台段,K329+000,329.000
G0018370060060,090406,莱州港,山东莱州港站,2.0,120.008108000000000,37.374305000000000,8.0,2.0,2.0,2.0,2.0,370600,烟台,YG1,山东高速集团,YG119,山东高速烟台发展有限公司,YG119  ,山东高速烟台发展有限公司,S740137,S7401烟台莱州疏港高速,S74013706,S7401烟台莱州港区疏港高速,K004+123,4.123
G0018370130040,120104,大高,山东大高站,2.0,117.859118000000000,37.609837000000000,6.0,2.0,1.0,1.0,2.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G002537,G25长深高速,G00253716,G25长深高速滨州段,K1261+430,1261.430
G0018370130080,120108,古城,山东古城站,2.0,117.837135000000000,37.699462000000000,4.0,1.0,1.0,1.0,1.0,371600,滨州,YG1,山东高速集团,YG106,山东高速滨州发展有限公司,YG106  ,山东高速滨州发展有限公司,G002537,G25长深高速,G00253716,G25长深高速滨州段,K1250+800,1250.800
G0018370160010,010401,威海,山东威海站,2.0,122.114302000000000,37.296475000000000,16.0,2.0,3.0,6.0,5.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10116,威海运管中心,G001837,G18荣乌高速,G00183710,G18荣乌高速威海段,K070+000,70.000
G0018370160030,010403,文登,山东文登站,4.0,122.007515000000000,37.168161000000000,8.0,2.0,1.0,3.0,2.0,371000,威海,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10116,威海运管中心,G001837,G18荣乌高速,G00183710,G18荣乌高速威海段,K051+000,51.000
G0020370010070,040503,高密西,山东高密西站,2.0,119.657951000000000,36.519379000000000,7.0,2.0,1.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10112,青岛运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K095+644,95.644
G0020370030030,040304,寿光,山东寿光站,2.0,118.728625000000000,36.763002000000000,8.0,2.0,1.0,3.0,2.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K188+000,188.000
G0020370030040,040305,昌乐,山东昌乐站,2.0,118.854265000000000,36.757148000000000,16.0,4.0,2.0,6.0,4.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K176+000,176.000
G0020370030060,040402,潍坊,山东潍坊站,2.0,119.162750000000000,36.749284000000000,18.0,4.0,2.0,8.0,4.0,370700,潍坊,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10111,潍坊运管中心,G002037,G20青银高速,G00203707,G20青银高速潍坊段,K149+000,149.000
G0020370050050,040205,邹平西,山东邹平西站,2.0,117.692759000000000,36.882967000000000,7.0,2.0,1.0,2.0,2.0,371600,滨州,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10110,淄博运管中心,G002037,G20青银高速,G00203716,G20青银高速滨州段,K282+900,282.900
G0022370010010,180401,孟疃,山东孟疃站,2.0,119.056161000000000,36.046211000000000,5.0,1.0,1.0,1.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002237,G22青兰高速,G00223707,G22青兰高速潍坊段,K158+923,158.923
G0022370010030,180403,诸城,山东诸城站,2.0,119.402232000000000,36.079610000000000,9.0,2.0,1.0,4.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002237,G22青兰高速,G00223707,G22青兰高速潍坊段,K127+223,127.223
G0022370010050,180405,辛兴,山东辛兴站,2.0,119.589804000000000,36.060271000000000,6.0,1.0,1.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002237,G22青兰高速,G00223707,G22青兰高速潍坊段,K109+723,109.723
G0022370030040,180204,张家坡,山东张家坡站,2.0,118.429205000000000,36.080690000000000,5.0,1.0,1.0,1.0,2.0,370300,淄博,YG1,山东高速集团,YG121,山东高速淄博发展有限公司,YG121  ,山东高速淄博发展有限公司,G002237,G22青兰高速,G00223703,G22青兰高速淄博段,K217+818,217.818
G0022370040010,180101,辛庄,山东辛庄站,2.0,117.828819000000000,36.236746000000000,9.0,1.0,2.0,4.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G002237,G22青兰高速,G00223701,G22青兰高速济南段,K279+000,279.000
G0022370050070,503007,营海,山东营海站,3.0,120.074999000000000,36.226080000000000,13.0,4.0,1.0,4.0,4.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11402,山东高速青岛公路有限公司,G002237,G22青兰高速,G00223702,G22青兰高速青岛段,K041+000,41.000
G0022370060020,180502,王台南,山东王台南站,2.0,119.997323000000000,36.046152000000000,6.0,1.0,1.0,2.0,2.0,370200,青岛,YG1,山东高速集团,YG114,山东高速青岛发展有限公司,YG11401,山东高速青岛发展有限公司运营管理事业部,G002237,G22青兰高速,G00223702,G22青兰高速青岛段,K072+576,72.576
G0022370070020,480102,肥城,山东肥城站,2.0,116.780240000000000,36.121453000000000,8.0,2.0,1.0,3.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K389+996,389.996
G0022370070030,480103,桃园,山东桃园站,2.0,116.624157000000000,36.128339000000000,6.0,2.0,1.0,1.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K403+889,403.889
G0022370070040,480104,肥城西,山东肥城西站,2.0,116.570251000000000,36.140098000000000,8.0,1.0,2.0,3.0,2.0,370900,泰安,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,G002237,G22青兰高速,G00223709,G22青兰高速泰安段,K409+291,409.291
G0022370070050,480105,平阴孔村,山东平阴孔村站,2.0,116.475210000000000,36.159395000000000,6.0,2.0,1.0,1.0,2.0,370100,济南,YG1,山东高速集团,YG101,山东高速股份有限公司,YG10105,泰东运管中心,G002237,G22青兰高速,G00223701,G22青兰高速济南段,K417+900,417.900
G0022370080010,510101,东阿,山东东阿站,1.0,116.213173000000000,36.293107000000000,7.0,3.0,0.0,1.0,3.0,371500,聊城,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,G002237,G22青兰高速,G00223715,G22青兰高速聊城段,K446+478,446.478
G0022370080040,510104,河店,山东河店站,1.0,115.692501000000000,36.360460000000000,7.0,2.0,1.0,2.0,2.0,371500,聊城,YG1,山东高速集团,YG112,山东高速聊城发展有限公司,YG112  ,山东高速聊城发展有限公司,G002237,G22青兰高速,G00223715,G22青兰高速聊城段,K495+430,495.430
G0022370090010,690101,钢城西,山东钢城西收费站,2.0,117.700418000000000,36.137560000000000,7.0,1.0,2.0,2.0,2.0,370100,济南,YG1,山东高速集团,YG110,山东高速济南发展有限公司,YG110  ,山东高速济南发展有限公司,G002237,G22青兰高速,G00223701,G22青兰高速济南段,K303+032,303.032
G0025370020010,280101,青州北,山东青州北站,2.0,118.539086000000000,36.781895000000000,7.0,2.0,1.0,2.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002537,G25长深高速,G00253707,G25长深高速潍坊段,K1415+650,1415.650
G0025370020060,280106,沂山,山东沂山站,2.0,118.713468000000000,36.246736000000000,6.0,2.0,1.0,1.0,2.0,370700,潍坊,YG1,山东高速集团,YG118,山东高速潍坊发展有限公司,YG118  ,山东高速潍坊发展有限公司,G002537,G25长深高速,G00253707,G25长深高速潍坊段,K1478+220,1478.220
